Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Baataromomys ulaanus,,,,,,"Discovery of the First Early Cenozoic Euprimate
(Mammalia) from Inner Mongolia
Authors: NI, XIJUN, BEARD, K. CHRISTOPHER, MENG, JIN, WANG,
YUANQING, and GEBO, DANIEL L 2007",m2 only,,,Asia
Bagacricetodon tongi,1.675,1.026363636,10,11,,"Cricetidae (Rodentia, Mammalia) from the Oligocene of the Valley of Lakes (Mongolia): the genera Aralocricetodon, Eocricetodon, Bagacricetodon, Witenia and Paracricetodon Paloma López-Guerrero1 & Olivier Maridet2,3 & Gudrun Daxner-Höck 2017",,,,Asia
Bagalestes trofimovi,1,0.65,1,1,,Early Paleogene Insectivore Mammals of Asia and Establishment of the Major Groups of Insectivora A. V. Lopatin 2005,,,,Asia
Bahinolophus birmanicus,,,,,TO MEASUE,"Tsubamoto, T., Egi, N., Takai, M., Sein, C., and Maung, M. 2005. Middle Eocene ungulate mammals from Myanmar: A review with description of new specimens. Acta Palaeontologica Polonica 50 (1): 117–138",,,,Asia
Bandaomys zhonghuaensis,1.6,1.29,2,2,,"New material of Alagomyidae (Mammalia, Glires) from the late Paleocene Subeng locality, Inner Mongolia; American Museum novitates, no. 3597 JP Meng, X Ni, CK Li, KC Beard, DL Gebo, Y Wang… - 2007",,,,Asia
Bayanulanius tenuis,,,,,,"The late Paleocene Bayan Ulan fauna of Inner Mongolia, China J Meng, RJ Zhai, AR Wyss - Bulletin of Carnegie Museum of …, 1998",upper teeth only,,,Asia
Bemalambda crassa,,,,,,"M. M. Chow, Y.-P. Chang, B.-Y. Wang and S.-Y. Ting. 1973. New mammalian genera and species from the Paleocene of Nanhsiung, N. Kwangtung. Vertebrata PalAsiatica 11(1):31-35",no m1,,,Asia
Benaius qianshuiensis,4.48,3.84,1,1,,"New Hypsodont Tillodont (Mammalia, Tillodontia) from the Early Eocene of India Authors: Rose, Kenneth D., Kumar, Kishor, Rana, Rajendra S., Sahni, Ashok, and Smith, Thierry",,,,Asia
Bogdia orientalis,,,,,,"Demberliyn Dashzeveg; Donald E. Russell (1985). A new middle Eocene insectivore from the Mongolian People's Republic. , 18(6), 871–875. doi:10.1016/s0016-6995(85)80040-1 ",no m1,,,Asia
Bohlinosminthus parvulus,1,0.74,181,185,,"Dipodidae (Rodentia, Mammalia) from the Oligocene and Early Miocene of Mongolia By Gudrun Daxner-Höck1* , Demchig BaDamgarav2 & Olivier mariDet 2014",,,,Asia
Bohlinotona mongolica,1.4,1.65,13,13,,"The Lagomorpha genus Bohlinotona (Ochotonidae) from the late Oligocene of Mongolia Margarita A. Erbajeva1* , Lawrence J. Flynn2 & Gudrun Daxner-Höck 2022",,,,Asia
Bohlinotona pusilla,1.41,1.66,7,7,,"The Lagomorpha genus Bohlinotona (Ochotonidae) from the late Oligocene of Mongolia Margarita A. Erbajeva1* , Lawrence J. Flynn2 & Gudrun Daxner-Höck 2022",,,,Asia
Boromys brachyblastus,2.015,1.775,2,2,,"Y. Tong. 1997. Middle Eocene Small Mammals from Liguanqiao Basin of Henan Province and Yuanqu Basin of Shanxi Province, Central China. Palaeontologica Sinica, New Series C 26:1-256","measurement reported as m1, figure as m2",,,Asia
