Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Paronychomys tuttlei,1.925,1.196,4,4,,Jacobs 1977,Jacobs 1977,,,
Parvericius montanus,2.318883333,1.529033333,13,13,,Alroy 2000,Rich 1981 (UCM: Blue Jaw Face),,,
Parvericius voorhiesi,2.08,1.3133,3,3,,Korth 1992,Korth 1992a (McCann Canyon),,,US
Parvitragulus priscus,3.875,2.86875,8,8,,Emry 1978,Emry 1978 (Flagstaff),,,
Patasola magdalenae,2.73,2.44,1,2,,Kay and Meldrum 1997,Trigonid width,,,CO
Patriofelis ulta,16,8.5,1,1,,Gazin 1957,Gazin 1957,,,
Patriolestes novaceki,3.16,2.54,23,23,,Walsh 1998,Walsh 1998 (San Diego Co.),,,
Pauromys exallos,1.315,1.165,2,2,,Emry and Korth 1989,Emry and Korth 1989 (Elderberry Canyon Quarry),,,US
Pauromys lillegraveni,1.1725,0.93875,6,6,,Walsh 1997,Walsh 1997 (type: Murray Canyon),,,US
Pauromys perditus,1.08,0.8,1,1,,Wood 1959,Wood 1959 (type: YPM Bridger),,,
