Accepted.Name;mean.m1.length;mean.m1.width;overall.n.sampled.m1.length;overall.n.sampled.m1.width;measured.m1;ref;notes;Uncertain;alt.body.mass;continent
Diacodexis indicus;4.47;3.05;7;7;;"Kumar, Kishor, et al. ""Early Eocene artiodactyls (Mammalia) from western India."" Journal of Vertebrate Paleontology 30.4 (2010): 1245-1274.";;;;
Diacodexis parvus;3.4;2.4;1;1;;"Kumar, Kishor, et al. ""Early Eocene artiodactyls (Mammalia) from western India."" Journal of Vertebrate Paleontology 30.4 (2010): 1245-1274.";;;;
Dianomys obscuratus;1.93;1.63;15;17;;"Ban-Yue, W. A. N. G. ""LATE EOCENE CTENODACTYLOIDS (RODENTIA, MAMMALIA) FROM QUJING, YUNNAN, CHIAN."" Vertebrata Palasiatica 39.01 (2001): 24.";;;;
Dianomys qujingensis;2.52;2.19;5;5;;"Ban-Yue, W. A. N. G. ""LATE EOCENE CTENODACTYLOIDS (RODENTIA, MAMMALIA) FROM QUJING, YUNNAN, CHIAN."" Vertebrata Palasiatica 39.01 (2001): 24.";;;;
Didymoconus gromovae;3.27;3.92;2;2;;"Lopatin, A. V. ""New Oligocene Didymoconidae (Mesonychia, Mammalia) from Mongolia and Kazakhstan."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 31 (1997): 108-119.";;;;
Dilambda zhuguikengensis;;;;;;;paper not availble;;;
Dissacus rotundus;;;;;;;paper not availble;;;
Dissacus shanghoensis;;;;;;;paper not availble;;;
Dorudon atrox;;;;;;;paper not availble;;;
Downsimys margolesi;;;;;;;specimen not found;;;
Dulcidon gandaensis;;;;;;;paper not availble;;;
Dyskritodon indicus;;;;;to measure;"Prasad, Guntupalli VR, and Brijesh K. Manhas. ""Triconodont mammals from the Jurassic Kota Formation of India."" Geodiversitas 24.2 (2002): 445-464.";measure from picture;;;
Dysnoetodon minuta;;;;;;;paper not availble;;;
Edirnella kempeni;19.0;14.68;6;6;;"Bruijn, Hans de. ""A rodent assemblage from the Eo/Oligocene boundary internal near Süngülü, Lesser Caucasus, Turkey: Una asociación de roedores del tránsito Eoceno/Oligoceno próxima a Süngülü, Lesser Caucasus, Turkey."" Coloquios de Paleontología 1 (2003): 47.";;;;
Edirnella sinani;;;;;;;paper not found;;;
Egatochoerus jaegeri;8.4;10.9;1;1;;"Orliac, Maeva, et al. ""New remains of Egatochoerus jaegeri (Mammalia, Suoidea) from the late Eocene of Peninsular Thailand."" Palaeontology 54.6 (2011): 1323-1335.";;;;
Elomeryx borbonicus;;;;;;"Ducrocq, Stéphane, and Fabrice Lihoreau. ""The occurrence of bothriodontines (Artiodactyla, Mammalia) in the Paleogene of Asia with special reference to Elomeryx: paleobiogeographical implications."" Journal of Asian Earth Sciences 27.6 (2006): 885-891.";lower molar not found;;;
Elomeryx japonicus;15.1;18.6;1;1;;"Tsubamoto, Takehisa, and Naoki Kohno. ""Reappraisal of “Brachyodus” japonicus, an Oligocene anthracotheriid cetartiodactyl from Japan."" Paleontological Research 15.3 (2011): 115-124.";;;;
Endotherium niinomii;;;;;to measure;"SHIKAMA, Tokio. ""Teilhardosaurus and Endotherium, new Jurassic Reptilia and Mammalia from the Husin coal-field, south Manchuria."" Proceedings of the Japan Academy 23.1-11 (1947): 76-84.";measure from picture;;doesn’t have scale;
Enginia djanpolati;;;;;;;paper not availble;;;
Eobaatar minor;;;;;;;paper not found;;;
Eocenchoerus savagei;;;;;;"Li-Ping, Liu. ""EOCENE SUOIDS (ARTIODACTYLA, MANMALIA) FROM BOSE AND YONGLE BASINS, CHINA, AND THE CLASIFICATION AND EVOLUTION OF THE PALEOGENE SUOIDS."" Vertebrata PalAsiatica 39.02 (2001): 115.";m3 found not m1;;;
Eocetus drazindai;;;;;;;specimen not found;;;
Eodesmatodon spanios;;;;;;;paper not availble;;;
Eolantianius russelli;;;;;;"Averianov, A. ""Artiodactyla from the early Eocene of Kyrgyzstan."" Palaeovertebrata 25.2-4 (1996): 359-369.";m2 and m3 found not m1;;;
Eoletes gracilis;10.74;7.16;5;5;;"Lucas, Spencer G., Robert J. Emry, and Bolat U. Bayshashov. ""Eocene Perissodactyla from the Shinzhaly River, eastern Kazakhstan."" Journal of Vertebrate Paleontology 17.1 (1997): 235-246.";;;;
Eoletes tianshanicus;;;;;;;lower molars not found;;;
Eoletes tshakpaktasensis;;;;;;;specimen not found;;;
Eomaia scansoria;;;;;to measure;"Ji, Qiang, et al. ""The earliest known eutherian mammal."" Nature 416.6883 (2002): 816-822.";measure from picture;;;
Eomoropus meridiorientalis;;;;;;;paper not accessible;;;
Eomoropus ulterior;;;;;;;paper not availble;;;
Eomys fahlbuschi;;;;;;;paper not availble;;;
Eotheroides babiae;7.6;NA;1;;;"Bajpai, Sunil, et al. ""Eocene and oligocene sirenians (Mammalia) from Kachchh, India."" Journal of Vertebrate Paleontology 26.2 (2006): 400-410.";doesn’t have width;;;
